Name;URL;Author;Price;Number of Ratings;Average Rating
            Last Week Tonight with John Oliver Presents a Day in the Life of Marlon Bundo        ;www.amazon.in/Tonight-Oliver-Presents-Marlon-Bundo/dp/145217380X?_encoding=UTF8&psc=1;Not available;$11.99;4,794;4.9 out of 5 stars
            12 Rules for Life: An Antidote to Chaos        ;www.amazon.in/12-Rules-Life-Antidote-Chaos/dp/0345816021?_encoding=UTF8&psc=1;Jordan B. Peterson;$15.57;1,571;4.7 out of 5 stars
            Llama Llama Easter Egg        ;www.amazon.in/Llama-Easter-Egg-Anna-Dewdney/dp/0451469828?_encoding=UTF8&psc=1;Anna Dewdney;$5.99;215;4.5 out of 5 stars
            The Don't Laugh Challenge - Easter Edition: Easter Edition - Don't Laugh Challenge: Easter Joke Book for Kids with Knock-Knock Jokes and Riddles Included        ;www.amazon.in/Dont-Laugh-Challenge-Knock-Knock-Included/dp/1945006803?_encoding=UTF8&psc=1;Don't Laugh Joke…;$8.09;11;5.0 out of 5 stars
            Easter Eggstravaganza Mad Libs        ;www.amazon.in/Easter-Eggstravaganza-Libs-Roger-Price/dp/0843172525?_encoding=UTF8&psc=1;Roger Price;$4.99;135;4.6 out of 5 stars
            Secret Empires: How the American Political Class Hides Corruption and Enriches Family and Friends        ;www.amazon.in/Secret-Empires-American-Political-Corruption/dp/0062569368?_encoding=UTF8&psc=1;Peter Schweizer;$17.39;30;4.5 out of 5 stars
            A Higher Loyalty: Truth, Lies, and Leadership        ;www.amazon.in/Higher-Loyalty-Truth-Lies-Leadership/dp/1250192455?_encoding=UTF8&psc=1;Not available;$15.99;Not available;Not available
            God Gave Us Easter        ;www.amazon.in/Gave-Easter-Lisa-Tawn-Bergren/dp/0307730727?_encoding=UTF8&psc=1;Lisa Tawn Bergren;$8.62;254;4.6 out of 5 stars
            Marlon Bundo's Day in the Life of the Vice President        ;www.amazon.in/Marlon-Bundos-Life-Vice-President/dp/1621577767?_encoding=UTF8&psc=1;Charlotte Pence;$12.04;249;4.5 out of 5 stars
            Player's Handbook (Dungeons & Dragons)        ;www.amazon.in/Players-Handbook-Dungeons-Dragons-Wizards/dp/0786965606?_encoding=UTF8&psc=1;Wizards RPG Team;$27.27;2,504;4.6 out of 5 stars
