Name;URL;Author;Price;Number of Ratings;Average Rating
            The Power of your Subconscious Mind        ;www.amazon.in/Power-your-Subconscious-Mind/dp/8192910962?_encoding=UTF8&psc=1;Joseph Murphy;   98.00;2,893;4.5 out of 5 stars
            The Subtle Art of Not Giving a F*ck        ;www.amazon.in/Subtle-Art-Not-Giving/dp/0062641549?_encoding=UTF8&psc=1;Mark Manson;   340.00;252;4.3 out of 5 stars
            Think and Grow Rich        ;www.amazon.in/Think-Grow-Rich-Napoleon-Hill/dp/8192910911?_encoding=UTF8&psc=1;Napoleon Hill;   75.00;2,411;4.5 out of 5 stars
            A Brief History of Time: From Big Bang to Black Holes        ;www.amazon.in/Brief-History-Time-Black-Holes/dp/0553175211?_encoding=UTF8&psc=1;Stephen Hawking;   230.00;526;4.5 out of 5 stars
            Railway Assistant Loco Pilot and Technician 2018        ;www.amazon.in/Railway-Assistant-Loco-Pilot-Technician/dp/9312147560?_encoding=UTF8&psc=1;Not available;   160.00;59;4.0 out of 5 stars
            Word Power Made Easy        ;www.amazon.in/Word-Power-Made-Norman-Lewis/dp/8183071007?_encoding=UTF8&psc=1;Norman Lewis;   109.00;4,752;4.4 out of 5 stars
            Indian Polity 5th Edition        ;www.amazon.in/Indian-Polity-5th-M-Laxmikanth/dp/935260363X?_encoding=UTF8&psc=1;M. Laxmikanth;   403.00;1,938;4.5 out of 5 stars
            India 2018        ;www.amazon.in/India-2018-Publication-Division/dp/8123027389?_encoding=UTF8&psc=1;Not available;   230.00;43;3.5 out of 5 stars
            Manorama Yearbook 2018        ;www.amazon.in/Manorama-Yearbook-2018-Mammen-Mathew/dp/9386025426?_encoding=UTF8&psc=1;Mammen Mathew;   195.00;141;4.1 out of 5 stars
            Sapiens        ;www.amazon.in/Sapiens-Yuval-Noah-Harari/dp/0099590085?_encoding=UTF8&psc=1;Yuval Noah Harari;   279.00;901;4.6 out of 5 stars
            General Knowledge 2019        ;www.amazon.in/General-Knowledge-2019-Manohar-Pandey/dp/9312147307?_encoding=UTF8&psc=1;Manohar Pandey;   25.00;42;4.2 out of 5 stars
            RRB Group D Guide 2018        ;www.amazon.in/RRB-Group-D-Guide-2018/dp/9312147889?_encoding=UTF8&psc=1;Not available;   176.00;42;4.0 out of 5 stars
            A Century is not Enough: My Roller-coaster Ride to Success        ;www.amazon.in/Century-not-Enough-Roller-coaster-Success/dp/9386228564?_encoding=UTF8&psc=1;Not available;   394.00;111;4.6 out of 5 stars
            The Alchemist        ;www.amazon.in/Alchemist-Paulo-Coelho/dp/8172234988?_encoding=UTF8&psc=1;Paulo Coelho;   200.00;2,977;4.6 out of 5 stars
            Diary of a Wimpy Kid: The Getaway (book 12)        ;www.amazon.in/Diary-Wimpy-Kid-Getaway-book/dp/0141385294?_encoding=UTF8&psc=1;Jeff Kinney;   213.00;297;4.7 out of 5 stars
            Quantitative Aptitude for Competitive Examinations        ;www.amazon.in/Quantitative-Aptitude-Competitive-Examinations-Aggarwal/dp/9352534026?_encoding=UTF8&psc=1;R S Aggarwal;   534.00;584;4.3 out of 5 stars
            How to Win Friends and Influence People        ;www.amazon.in/How-Win-Friends-Influence-People/dp/0091906350?_encoding=UTF8&psc=1;Dale Carnegie;   172.00;1,833;4.5 out of 5 stars
            Immortal Talks        ;www.amazon.in/Immortal-Talks-Shunya/dp/8193305205?_encoding=UTF8&psc=1;Shunya;   249.00;534;4.8 out of 5 stars
            Will You Still Love Me?        ;www.amazon.in/Will-You-Still-Love-Me/dp/0143429361?_encoding=UTF8&psc=1;Not available;   109.00;77;4.8 out of 5 stars
            Rich Dad Poor Dad: What the Rich Teach their Kids About Money that the Poor and Middle Class Do Not! (With Updates for Today's World)        ;www.amazon.in/Rich-Dad-Poor-Middle-Updates/dp/1612680194?_encoding=UTF8&psc=1;Robert T Kiyosaki;   249.00;2,509;4.5 out of 5 stars
            A Brief History of Modern India        ;www.amazon.in/Brief-History-Modern-India/dp/8179306542?_encoding=UTF8&psc=1;Rajiv Ahir;   265.00;139;4.2 out of 5 stars
            Mathematics for Class 10 by R D Sharma (2018-19 Session)        ;www.amazon.in/Mathematics-Class-Sharma-2018-19-Session/dp/8193647920?_encoding=UTF8&psc=1;R.D. Sharma;   455.00;20;4.8 out of 5 stars
            Exam Warriors        ;www.amazon.in/Exam-Warriors-Narendra-Modi/dp/0143441507?_encoding=UTF8&psc=1;Not available;   57.00;306;4.4 out of 5 stars
            Wings of Fire: An Autobiography of Abdul Kalam        ;www.amazon.in/Wings-Fire-Autobiography-Abdul-Kalam/dp/8173711461?_encoding=UTF8&psc=1;Not available;   198.00;1,839;4.6 out of 5 stars
            Concepts of Physics 2        ;www.amazon.in/Concepts-Physics-2-H-C-Verma/dp/8177092324?_encoding=UTF8&psc=1;H.C. Verma;   282.00;431;4.6 out of 5 stars
            Accounting and Finance for Bankers        ;www.amazon.in/Accounting-Finance-Bankers-Med/dp/9350598485?_encoding=UTF8&psc=1;Not available;   380.00;191;4.5 out of 5 stars
            Why I Am a Hindu        ;www.amazon.in/Why-Hindu-Dr-Shashi-Tharoor/dp/9386021102?_encoding=UTF8&psc=1;Not available;   398.00;108;3.6 out of 5 stars
            Principles and Practices of Banking        ;www.amazon.in/Principles-Practices-Banking-IIBF/dp/9350597292?_encoding=UTF8&psc=1;Not available;   385.00;191;4.5 out of 5 stars
            The Immortals of Meluha (Shiva Trilogy)        ;www.amazon.in/Immortals-Meluha-Shiva-Trilogy/dp/9380658745?_encoding=UTF8&psc=1;Not available;   150.00;2,183;4.6 out of 5 stars
            Legal and Regulatory Aspects of Banking - JAIIB (3rd Edition)        ;www.amazon.in/Legal-Regulatory-Aspects-Banking-JAIIB/dp/9350597284?_encoding=UTF8&psc=1;Not available;   394.00;189;4.4 out of 5 stars
            Indian Art and Culture        ;www.amazon.in/Indian-Art-Culture-Nitin-Singhania/dp/9387067548?_encoding=UTF8&psc=1;Nitin Singhania;   309.00;129;4.5 out of 5 stars
            Indian Economy        ;www.amazon.in/Indian-Economy-Ramesh-Singh/dp/9352606140?_encoding=UTF8&psc=1;Ramesh Singh;   477.00;338;3.9 out of 5 stars
            RRB Group D Solved Papers and Practice Sets 2018        ;www.amazon.in/Group-Solved-Papers-Practice-Sets/dp/9312148559?_encoding=UTF8&psc=1;Not available;   120.00;11;4.4 out of 5 stars
            Harry Potter and the Philosopher's Stone        ;www.amazon.in/Harry-Potter-Philosophers-Stone-Rowling/dp/1408855658?_encoding=UTF8&psc=1;J.K. Rowling;   349.00;771;4.7 out of 5 stars
            How to Win Friends and Influence People        ;www.amazon.in/How-Win-Friends-Influence-People/dp/8192910997?_encoding=UTF8&psc=1;Dale Carnegie;   99.00;1,833;4.5 out of 5 stars
            Origin: Number 5 of the Robert Langdon Series        ;www.amazon.in/Origin-Number-5-Robert-Langdon/dp/0593078756?_encoding=UTF8&psc=1;Dan Brown;   400.00;823;4.0 out of 5 stars
            Mathematics for Class 9 by R D Sharma (2018-19 Session)        ;www.amazon.in/Mathematics-Class-Sharma-2018-19-Session/dp/8193647912?_encoding=UTF8&psc=1;R.D. Sharma;   355.00;12;4.5 out of 5 stars
            Catalyst        ;www.amazon.in/Catalyst-Chandramouli-Venkatesan/dp/0143442473?_encoding=UTF8&psc=1;Not available;   200.00;32;4.4 out of 5 stars
            The Monk Who Sold His Ferrari        ;www.amazon.in/Monk-Who-Sold-His-Ferrari/dp/817992162X?_encoding=UTF8&psc=1;Robin Sharma;   169.00;2,448;4.5 out of 5 stars
            The Intelligent Investor (English) Paperback – 2013        ;www.amazon.in/Intelligent-Investor-English-Paperback-2013/dp/0062312685?_encoding=UTF8&psc=1;Benjamin Graham;   398.00;719;4.3 out of 5 stars
            Pathfinder for NDA & NA National Defence Academy Naval Academy Entrance Examination        ;www.amazon.in/Pathfinder-National-Defence-Entrance-Examination/dp/9312146734?_encoding=UTF8&psc=1;Not available;   417.00;21;4.2 out of 5 stars
            This Is Not Your Story        ;www.amazon.in/This-Your-Story-Savi-Sharma/dp/9386224399?_encoding=UTF8&psc=1;Savi Sharma;   90.00;1,878;4.5 out of 5 stars
            Zero to One: Note on Start Ups, or How to Build the Future        ;www.amazon.in/Zero-One-Start-Build-Future/dp/0753555190?_encoding=UTF8&psc=1;Peter Thiel;   240.00;796;4.3 out of 5 stars
            Elon Musk: How the Billionaire CEO of Spacex and Tesla is Shaping Our Future        ;www.amazon.in/Elon-Musk-Billionaire-Spacex-Shaping/dp/0753555638?_encoding=UTF8&psc=1;Ashlee Vance;   240.00;540;4.6 out of 5 stars
            The Secret        ;www.amazon.in/Secret-Rhonda-Byrne/dp/1847370292?_encoding=UTF8&psc=1;Rhonda Byrne;   416.00;1,218;4.5 out of 5 stars
            15 Years' Solved Papers JEE Main        ;www.amazon.in/Years-Solved-Papers-JEE-Main/dp/9311126276?_encoding=UTF8&psc=1;Not available;   293.00;41;4.3 out of 5 stars
            Sita - Warrior of Mithila (Book 2- Ram Chandra Series): An adventure thriller that follows Lady Sita’s journey, set in mythological times        ;www.amazon.in/Sita-Warrior-adventure-thriller-mythological/dp/9386224585?_encoding=UTF8&psc=1;Amish Tripathi;   206.00;1,520;4.2 out of 5 stars
            The 7 Habits of Highly Effective People        ;www.amazon.in/Habits-Highly-Effective-People/dp/1471131823?_encoding=UTF8&psc=1;Not available;   296.00;841;4.0 out of 5 stars
            Mathematics for Class 12 by R D Sharma (Set of 2 Volume) (2018-19 Session)        ;www.amazon.in/Mathematics-Class-Sharma-2018-19-Session/dp/8193663012?_encoding=UTF8&psc=1;R.D. Sharma;   855.00;11;4.3 out of 5 stars
            Environment        ;www.amazon.in/Environment-Shankar/dp/B00Q6Q5WHS?_encoding=UTF8&psc=1;Not available;   399.00;394;4.2 out of 5 stars
            39 Years' Chapterwise Topicwise Solved Papers (2017-1979) IIT JEE Chemistry        ;www.amazon.in/Chapterwise-Topicwise-Solved-2017-1979-Chemistry/dp/9311128759?_encoding=UTF8&psc=1;Ranjeet Shahi;   249.00;75;3.9 out of 5 stars
            Keepers of the Kalachakra: The latest thriller in the Bharat Series by bestselling author Ashwin Sanghi        ;www.amazon.in/Keepers-Kalachakra-latest-thriller-bestselling/dp/9386850648?_encoding=UTF8&psc=1;Ashwin Sanghi;   208.00;201;4.2 out of 5 stars
            Don't Lose Your Mind, Lose Your Weight        ;www.amazon.in/Dont-Lose-Your-Mind-Weight/dp/8184001053?_encoding=UTF8&psc=1;Rujuta Diwekar;   130.00;820;4.5 out of 5 stars
            Inner Engineering: A Yogi’s Guide to Joy        ;www.amazon.in/Inner-Engineering-Yogis-Guide-Joy/dp/0143428845?_encoding=UTF8&psc=1;Sadhguru;   173.00;832;4.7 out of 5 stars
            Attitude Is Everything: Change Your Attitude ... Change Your Life!        ;www.amazon.in/Attitude-Everything-Change-Your-Life/dp/9351772071?_encoding=UTF8&psc=1;Jeff Keller;   121.00;217;4.5 out of 5 stars
            The Power of Habit: Why We Do What We Do, and How to Change        ;www.amazon.in/Power-Habit-Why-What-Change/dp/1847946240?_encoding=UTF8&psc=1;Charles Duhigg;   224.00;400;4.4 out of 5 stars
            Mathematics for Class - 7  - 756        ;www.amazon.in/Mathematics-Class-7-756-NCERT/dp/8174506691?_encoding=UTF8&psc=1;Not available;   55.00;24;4.2 out of 5 stars
            High School English Grammar and Composition Book (Regular Edition)        ;www.amazon.in/School-English-Grammar-Composition-Regular/dp/9352530144?_encoding=UTF8&psc=1;Not available;   285.00;662;4.3 out of 5 stars
